V LOF ex23 0.968919 1
V LOF ex301 0.969894 1
V LOF ex19 0.972865 1
V LOF ex192 0.974474 1
V LOF ex100 0.975350 1
V LOF ex313 0.975389 1
V LOF ex216 0.975559 1
V LOF ex88 0.976372 1
V LOF ex196 0.976669 1
V LOF ex189 0.976709 1
V LOF ex270 0.978662 1
V LOF ex229 0.978959 1
V LOF ex302 0.978962 1
V LOF ex310 0.979621 1
V LOF ex77 0.979656 1
V LOF ex241 0.980605 1
V LOF ex323 0.980833 1
V LOF ex346 0.980897 1
V LOF ex331 0.980990 1
V LOF ex210 0.981537 1
V LOF ex143 0.981865 1
V LOF ex219 0.982411 1
V LOF ex227 0.983254 1
V LOF ex134 0.983386 1
V LOF ex271 0.983623 1
V LOF ex178 0.983794 1
V LOF ex207 0.983850 1
V LOF ex311 0.984480 1
V LOF ex184 0.984646 1
V LOF ex364 0.985029 1
V LOF ex112 0.985324 1
V LOF ex202 0.985377 1
V LOF ex149 0.985618 1
V LOF ex213 0.986167 1
V LOF ex179 0.986627 1
V LOF ex110 0.986863 1
V LOF ex115 0.987124 1
V LOF ex222 0.987164 1
V LOF ex272 0.987169 1
V LOF ex89 0.988896 1
V LOF ex369 0.988897 1
V LOF ex249 0.989214 1
V LOF ex340 0.989420 1
V LOF ex260 0.989984 1
V LOF ex212 0.990087 1
V LOF ex205 0.990426 1
V LOF ex248 0.991171 1
V LOF ex120 0.991562 1
V LOF ex309 0.991669 1
V LOF ex103 0.991942 1
V LOF ex236 0.992748 1
V LOF ex41 0.993393 1
V LOF ex154 0.993478 1
V LOF ex194 0.993534 1
V LOF ex129 0.993689 1
V LOF ex94 0.993786 1
V LOF ex106 0.993871 1
V LOF ex119 0.993894 1
V LOF ex383 0.993907 1
V LOF ex381 0.993929 1
V LOF ex280 0.994113 1
V LOF ex366 0.994260 1
V LOF ex37 0.994836 1
V LOF ex334 0.995301 1
V LOF ex230 0.995397 1
V LOF ex130 0.995532 1
V LOF ex254 0.995790 1
V LOF ex92 0.995890 1
V LOF ex42 0.996036 1
V LOF ex373 0.996307 1
V LOF ex52 0.996573 1
V LOF ex108 0.997202 1
V LOF ex111 0.997305 1
V LOF ex170 0.997311 1
V LOF ex223 0.997321 1
V LOF ex337 0.997540 1
V LOF ex297 0.998059 1
V LOF ex152 0.998113 1
V LOF ex243 0.999020 1
V LOF ex25 0.999250 1
V LOF ex239 0.999450 1
V LOF ex90 0.999543 1
V LOF ex71 0.999694 1
V LOF ex49 1.000129 1
V LOF ex116 1.000246 1
V LOF ex53 1.000486 1
V LOF ex101 1.000693 1
V LOF ex303 1.000731 1
V LOF ex161 1.000961 1
V LOF ex165 1.001070 1
V LOF ex351 1.001800 1
V LOF ex355 1.001840 1
V LOF ex384 1.002364 1
V LOF ex142 1.002560 1
V LOF ex65 1.003627 1
V LOF ex80 1.003958 1
V LOF ex78 1.004076 1
V LOF ex300 1.004719 1
V LOF ex6 1.004953 1
V LOF ex118 1.005108 1
V LOF ex177 1.005663 1
V LOF ex376 1.006092 1
V LOF ex246 1.006445 1
V LOF ex221 1.007190 1
V LOF ex21 1.007245 1
V LOF ex367 1.007255 1
V LOF ex174 1.007739 1
V LOF ex7 1.007875 1
V LOF ex304 1.008743 1
V LOF ex339 1.008925 1
V LOF ex168 1.009292 1
