14.85,4.65,12.36,6.96
15.02,5.02,12.63,7.03
15.06,5.33,12.13,7.02
15.23,5.45,12.22,6.9
15.63,5.51,12.16,6.93
15.63,5.35,12.16,6.93
15.42,5.61,12.1,7.03
14.41,5.6,11.03,6.8
14.03,4.96,10.79,6.81
13.98,4.81,10.4,6.6
14.15,4.76,10.25,6.7
13.9,4.93,10.68,6.93
13.9,5.27,10.1,7.09
13.83,5.34,9.69,6.94
13.16,5.02,9.19,6.8
12.84,5.02,9.08,6.27
12,5.19,8.96,6.23
11.8,5.06,9.01,6.21
11.09,4.94,8.9,6.09
10.29,5.14,8.72,6.04
9.85,4.89,8.55,6.07
9.87,4.93,8.52,6.11
10.01,4.63,8.6,6.36
9.89,4.44,8.44,6.3
10.32,3.93,8.76,6.29
10.62,3.54,8.99,6.56
10.62,3.54,8.99,6.56
10.45,3.51,8.88,6.63
10.47,3.53,8.91,6.66
10.38,3.5,8.65,6.41
10.89,3.54,8.84,6.41
11.47,3.54,9.25,6.76
11.41,3.57,9.55,6.93
11.5,3.55,9.55,6.96
10.8,3.48,8.95,6.64
10.75,3.33,8.91,6.66
11.23,3.39,8.99,6.72
11.12,3.4,8.67,6.71
11.16,3.42,8.63,6.84
10.52,3.42,8.17,6.79
10.68,3.31,8.26,6.8
10.14,3.17,7.65,6.31
10.54,3.05,7.98,6.52
9.76,3,7.78,6.34
9.82,2.61,7.97,6.36
10.98,2.55,8.79,6.95
10.4,2.47,8.56,6.56
11.57,2.58,9.71,7.09
12.28,2.64,10.08,7.5
13.22,2.75,10.74,7.63
13.94,2.99,10.72,8.13
13.76,2.91,8.75,8.01
13.68,2.91,8.65,7.98
14.06,2.92,8.91,8.43
13,3,8.48,7.78
13.19,2.98,8.67,7.88
13.48,3.11,8.67,8.13
13.15,3.23,8.31,7.68
13.24,3.17,8.39,7.8
13.6,3.09,8.48,7.65
13.59,3.02,8.59,7.37
13,2.97,8.03,7.39
12.89,3.04,8.2,7.37
12.62,3.07,7.81,7.3
11.84,2.99,7.32,6.61
12.15,2.95,7.75,6.92
12.51,2.97,8.12,7.5
11.74,2.9,8.39,7.92
9.98,2.89,7.99,7.2
9.38,2.83,7.78,6.87
9.36,2.82,7.75,6.99
9.92,3.03,8.12,7.32
10.14,2.77,8.37,7.74
9.74,3.23,8.16,7.69
9.81,3.29,8.36,7.97
9.74,3.42,8.42,8.25
9.99,3.65,8.82,8.83
9.06,3.37,7.88,7.95
8.68,3.4,7.73,7.56
8.36,3.6,7.78,7.63
8.48,3.24,7.72,7.64
8.11,3.5,7.37,7.26
7.96,4.02,7.2,7.11
8.11,3.63,7.14,7.02
7.95,3.36,7.14,6.77
7.95,3.17,7.12,6.71
8.29,2.65,7.3,6.75
8.64,2.56,7.61,6.96
9.11,2.56,7.97,7.25
8.77,2.48,7.95,7.56
8.67,2.32,7.95,7.48
8.35,2.34,8.01,7.63
8.17,2.56,8,7.29
